                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                0.41367,                0.24723,                0.83596,                0.99963,                      1,                  0.995,                0.96409,                 0.2741,                0.20583,                 0.8005,              0.0005744,              0.0005744,              0.0005744
                     74,                0.37323,                0.23223,                0.82228,                0.99963,                      1,                  0.995,                0.95506,                0.27557,                0.21146,                 0.8024,              0.0005546,              0.0005546,              0.0005546
                     75,                 0.3706,                0.23131,                0.83059,                0.99963,                      1,                  0.995,                0.95158,                0.27035,                0.21079,                0.79776,              0.0005348,              0.0005348,              0.0005348
                     76,                0.38498,                 0.2386,                0.83847,                0.99959,                      1,                  0.995,                0.95462,                0.27718,                0.20627,                 0.8028,               0.000515,               0.000515,               0.000515
                     77,                0.37805,                0.23495,                0.81921,                0.99958,                      1,                  0.995,                0.95196,                0.27431,                0.21867,                0.80463,              0.0004952,              0.0004952,              0.0004952
                     78,                0.37931,                0.23947,                0.81223,                0.99954,                      1,                  0.995,                0.95404,                0.26354,                 0.2087,                0.79567,              0.0004754,              0.0004754,              0.0004754
                     79,                0.41501,                0.24419,                0.84141,                0.99959,                      1,                  0.995,                0.94981,                0.30267,                0.21496,                0.79998,              0.0004556,              0.0004556,              0.0004556
                     80,                0.40127,                0.23607,                0.81764,                0.99962,                      1,                  0.995,                 0.9627,                0.26985,                0.20837,                 0.7976,              0.0004358,              0.0004358,              0.0004358
                     81,                0.36056,                0.22443,                0.81162,                0.99962,                      1,                  0.995,                0.96185,                0.25409,                0.19848,                0.79283,               0.000416,               0.000416,               0.000416
                     82,                0.36828,                 0.2233,                0.82397,                0.99965,                      1,                  0.995,                0.95955,                0.25421,                0.20294,                0.79367,              0.0003962,              0.0003962,              0.0003962
                     83,                0.37476,                0.22132,                0.83481,                0.99961,                      1,                  0.995,                0.94741,                0.27382,                0.19914,                0.79709,              0.0003764,              0.0003764,              0.0003764
                     84,                0.38031,                0.22942,                0.84428,                0.99962,                      1,                  0.995,                0.95864,                0.26647,                0.19943,                0.79772,              0.0003566,              0.0003566,              0.0003566
                     85,                0.36203,                0.22626,                0.81145,                0.99963,                      1,                  0.995,                0.96129,                0.26064,                0.19416,                0.79537,              0.0003368,              0.0003368,              0.0003368
                     86,                0.34614,                0.21327,                0.80571,                0.99962,                      1,                  0.995,                0.96695,                0.25135,                0.19833,                0.79469,               0.000317,               0.000317,               0.000317
                     87,                0.36022,                0.22331,                0.81185,                 0.9996,                      1,                  0.995,                0.95927,                0.26425,                0.20184,                0.79451,              0.0002972,              0.0002972,              0.0002972
                     88,                0.37175,                0.21656,                0.82704,                 0.9996,                      1,                  0.995,                0.95516,                0.26365,                0.19654,                 0.7933,              0.0002774,              0.0002774,              0.0002774
                     89,                0.35833,                0.21891,                0.83173,                 0.9996,                      1,                  0.995,                 0.9609,                0.25467,                0.20083,                0.79173,              0.0002576,              0.0002576,              0.0002576
                     90,                0.34442,                0.20817,                0.83621,                0.99961,                      1,                  0.995,                0.95111,                0.25131,                0.18532,                0.79454,              0.0002378,              0.0002378,              0.0002378
                     91,                0.31082,                0.19381,                0.79336,                0.99963,                      1,                  0.995,                0.95441,                0.24501,                0.19091,                0.78978,               0.000218,               0.000218,               0.000218
                     92,                0.31246,                  0.197,                0.78375,                0.99962,                      1,                  0.995,                0.95254,                0.25464,                0.19223,                0.79032,              0.0001982,              0.0001982,              0.0001982
                     93,                0.31066,                 0.1932,                0.79312,                0.99964,                      1,                  0.995,                0.96392,                 0.2443,                0.19117,                0.78981,              0.0001784,              0.0001784,              0.0001784
                     94,                0.30781,                0.18834,                0.79833,                0.99963,                      1,                  0.995,                0.96412,                0.23674,                0.18296,                0.79039,              0.0001586,              0.0001586,              0.0001586
                     95,                0.30767,                0.19006,                0.80519,                0.99964,                      1,                  0.995,                0.96849,                0.22813,                0.17866,                0.79066,              0.0001388,              0.0001388,              0.0001388
                     96,                0.29671,                0.18315,                0.79804,                0.99964,                      1,                  0.995,                0.96218,                0.24259,                0.18762,                0.79079,               0.000119,               0.000119,               0.000119
                     97,                0.30711,                0.18681,                0.80187,                0.99963,                      1,                  0.995,                0.96794,                0.23105,                0.18223,                0.78882,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.29429,                0.18363,                0.78748,                0.99963,                      1,                  0.995,                 0.9686,                0.22606,                0.17776,                0.78864,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.29604,                0.18182,                0.79173,                0.99964,                      1,                  0.995,                0.96762,                0.22221,                0.17704,                0.78717,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.27722,                 0.1755,                0.77943,                0.99963,                      1,                  0.995,                0.97087,                0.22175,                0.17847,                0.78651,               3.98e-05,               3.98e-05,               3.98e-05
